City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Guanare,9.0418,-69.7421,80.62,78,99,4.61,VE,2021-08-10 23:51:56
153,Tessalit,20.1986,1.0114,89.11,38,57,7.78,ML,2021-08-10 23:51:56
154,Shenzhen,22.5455,114.0683,85.21,89,100,5.14,CN,2021-08-10 23:51:51
155,Doka,13.5167,35.7667,70.23,95,100,5.37,SD,2021-08-10 23:51:57
156,Hervey Bay,-25.2986,152.8535,73.04,65,11,13.33,AU,2021-08-10 23:51:57
157,Jamame,0.0722,42.7506,74.01,82,64,11.23,SO,2021-08-10 23:51:58
158,Rundu,-17.9333,19.7667,57.7,22,1,6.44,NA,2021-08-10 23:51:58
159,Port Macquarie,-31.4333,152.9167,57.16,49,1,8.37,AU,2021-08-10 23:51:59
160,Berlevag,70.8578,29.0864,56.73,93,99,7.45,NO,2021-08-10 23:51:59
161,Morden,49.1919,-98.1014,79.23,34,74,8.05,CA,2021-08-10 23:47:40
162,Konstantinovka,49.6167,127.9833,62.65,73,9,9.1,RU,2021-08-10 23:51:59
163,Katsuura,35.1333,140.3,86.04,73,60,11.83,JP,2021-08-10 23:52:00
164,Lompoc,34.6391,-120.4579,89.22,63,1,16.11,US,2021-08-10 23:52:00
165,Bluff,-46.6,168.3333,54.81,82,44,11.86,NZ,2021-08-10 23:52:01
166,Katherine,-14.4667,132.2667,80.92,50,52,5.75,AU,2021-08-10 23:52:01
167,Nome,64.5011,-165.4064,55.17,82,90,4.61,US,2021-08-10 23:52:01
168,Zhigansk,66.7697,123.3711,63.64,74,89,5.28,RU,2021-08-10 23:52:02
169,Davila,18.4726,120.5763,76.98,81,99,9.6,PH,2021-08-10 23:52:02
170,Medea,36.2642,2.7539,66.65,12,55,10.54,DZ,2021-08-10 23:52:02
171,Lahij,13.1667,44.5833,86.25,52,88,10.76,YE,2021-08-10 23:52:03
172,Brainerd,46.358,-94.2008,86.02,28,1,16.11,US,2021-08-10 23:52:03
173,Cabra,37.4725,-4.4421,87.39,61,67,0.72,ES,2021-08-10 23:52:04
174,Santa Quiteria,-4.3319,-40.1567,83.46,48,69,6.26,BR,2021-08-10 23:52:04
175,Sobolevo,54.4299,31.8996,59.07,94,22,5.91,RU,2021-08-10 23:52:05
176,Libertador General San Martin,-23.8064,-64.7876,55.94,63,60,4.41,AR,2021-08-10 23:52:05
177,Opuwo,-18.0607,13.84,58.48,47,14,3.83,NA,2021-08-10 23:52:06
178,La Antigua,6.7153,-76.079,59.76,99,99,3.29,CO,2021-08-10 23:52:06
179,Placerville,38.7296,-120.7986,99.05,21,1,1.01,US,2021-08-10 23:52:06
180,Dalgopol,43.05,27.35,73.45,65,25,1.83,BG,2021-08-10 23:52:07
181,Narsaq,60.9167,-46.05,50.59,57,96,2.95,GL,2021-08-10 23:52:07
182,Shirokiy,49.758,129.523,62.76,70,21,7.05,RU,2021-08-10 23:52:07
183,Along,28.1667,94.7667,76.17,99,100,0.51,IN,2021-08-10 23:52:08
184,Mishan,45.55,131.8833,63.37,64,88,7.61,CN,2021-08-10 23:52:08
185,Barinas,8.6226,-70.2075,80.29,100,94,1.14,VE,2021-08-10 23:52:09
186,Havre-Saint-Pierre,50.2334,-63.5986,64.76,94,90,8.05,CA,2021-08-10 23:52:09
187,Tres Arroyos,-38.3739,-60.2798,42.31,53,2,5.55,AR,2021-08-10 23:52:09
188,Port-Cartier,50.0334,-66.8654,62.82,98,98,3.02,CA,2021-08-10 23:52:10
