City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3405,Dum Duma,IN,82.29,heavy intensity rain,27.5667,95.5667,ROYAL HOME
3406,Sheridan,US,77.18,clear sky,44.8333,-106.9173,Comfort Inn & Suites
3410,Chodavaram,IN,87.64,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
3414,Koumac,NC,75.63,scattered clouds,-20.5667,164.2833,Le Monitel
3416,Wiarton,CA,75.24,scattered clouds,44.7407,-81.1332,Waterview On The Bay
3417,Joshimath,IN,78.75,few clouds,30.5667,79.5667,Shivalik Camps & Resort
3422,Nara,JP,76.32,heavy intensity rain,34.6851,135.8049,Guesthouse Nara Komachi
3423,Lorengau,PG,86.02,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
3424,Kirakira,SB,80.01,broken clouds,-10.4544,161.9205,SanBiz Lodge
3425,Carauari,BR,79.77,overcast clouds,-4.8828,-66.8958,Hotel Fellip
3426,Trat,TH,88.25,broken clouds,12.5,102.5,สวนหนิง-อัศ
3430,Rantoul,US,82.18,clear sky,40.3084,-88.1559,First Heritage Inn
3431,Alekseyevsk,RU,83.62,clear sky,57.8406,108.3492,
3433,Sorong,ID,83.35,broken clouds,-0.8833,131.25,waigo splash hotel
3434,Talaya,RU,76.46,broken clouds,61.3833,152.75,
3435,Aksu,CN,86.09,few clouds,41.1231,80.2644,Pudong Holiday Hotel
3436,Atambua,ID,86.63,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
3446,Altar,MX,89.04,overcast clouds,30.7,-111.8167,Hotel Maria Elena
3449,Yarada,IN,88.12,haze,17.65,83.2667,Jeevan
3451,Singur,IN,89.49,overcast clouds,22.8092,88.2294,Big♨Boss Restaurant & Banquet
3452,The Hammocks,US,85.01,scattered clouds,25.6715,-80.4445,Casa tío Hernan
3466,Savannah Bight,HN,82.99,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
3467,Key West,US,87.8,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
3468,Dzaoudzi,YT,75.09,broken clouds,-12.7887,45.2699,Le Rocher
3469,Nizhniy Baskunchak,RU,86.59,broken clouds,48.2198,46.8311,Arman hotel
3477,Manokwari,ID,83.41,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
3478,Along,IN,77.32,overcast clouds,28.1667,94.7667,Hotel West
3484,Suchiapa,MX,80.92,broken clouds,16.6167,-93.0833,GameZone UPChiapas
