City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Current Description
969,Haines Junction,60.7522,-137.5108,64.35,34,48,6.91,CA,2021-08-11 01:43:45,scattered clouds,
970,Oarai,36.3167,140.6,86.45,64,95,8.63,JP,2021-08-11 01:43:45,overcast clouds,
971,Cidreira,-30.1811,-50.2056,54.95,84,100,10.51,BR,2021-08-11 01:43:46,overcast clouds,
972,Nyurba,63.2842,118.3319,72.93,48,84,5.01,RU,2021-08-11 01:43:46,broken clouds,
973,Ambon,-3.6954,128.1814,84.34,84,40,5.75,ID,2021-08-11 01:43:46,scattered clouds,
974,Nizwa,22.9333,57.5333,84.42,49,5,1.63,OM,2021-08-11 01:43:47,clear sky,
975,Alyangula,-13.8483,136.4192,84.07,51,6,8.05,AU,2021-08-11 01:43:47,clear sky,
976,Pemangkat,1.1667,108.9667,84.07,69,81,6.15,ID,2021-08-11 01:43:47,broken clouds,
977,Lavrentiya,65.5833,-171.0,45.5,69,99,8.79,RU,2021-08-11 01:43:48,overcast clouds,
978,Hauterive,46.0901,3.4459,63.36,95,2,3.13,FR,2021-08-11 01:43:48,clear sky,
979,Kosh-Agach,50.0,88.6667,56.25,45,33,1.99,RU,2021-08-11 01:43:48,scattered clouds,
980,Benguela,-12.5763,13.4055,70.47,89,5,3.31,AO,2021-08-11 01:43:49,clear sky,
981,Labytnangi,66.6572,66.4183,57.22,67,13,1.28,RU,2021-08-11 01:43:49,few clouds,
982,Torbay,47.6666,-52.7314,61.27,84,75,11.5,CA,2021-08-11 01:43:49,broken clouds,
983,Alta,69.9689,23.2717,60.06,75,75,1.99,NO,2021-08-11 01:43:50,broken clouds,
984,Te Anau,-45.4167,167.7167,46.4,95,100,5.46,NZ,2021-08-11 01:43:50,moderate rain,
985,Alofi,-19.0595,-169.9187,76.89,83,75,16.11,NU,2021-08-11 01:43:50,broken clouds,
986,Beisfjord,68.3751,17.5988,62.04,99,100,2.24,NO,2021-08-11 01:43:51,light rain,
987,Shegaon,20.7833,76.6833,78.24,74,79,11.92,IN,2021-08-11 01:43:51,broken clouds,
988,Itoman,26.1247,127.6694,84.22,84,75,19.57,JP,2021-08-11 01:43:51,light rain,
989,Dawlatabad,36.4141,64.9053,77.31,19,0,5.97,AF,2021-08-11 01:43:52,clear sky,
990,Akyab,20.15,92.9,84.06,78,87,5.53,MM,2021-08-11 01:43:52,overcast clouds,
991,Labuhan,-6.8844,112.2051,82.18,59,28,7.09,ID,2021-08-11 01:43:52,scattered clouds,
992,Volkhov,59.9258,32.3382,54.34,87,2,1.54,RU,2021-08-11 01:43:53,clear sky,
993,Gusev,54.5922,22.1997,57.36,94,89,5.14,RU,2021-08-11 01:43:53,light rain,
994,Trelew,-43.249,-65.3051,43.29,74,0,11.54,AR,2021-08-11 01:43:53,clear sky,
995,Chifeng,42.2683,118.9636,67.84,73,87,5.84,CN,2021-08-11 01:43:54,overcast clouds,
996,Tezu,27.9167,96.1667,80.1,93,99,0.31,IN,2021-08-11 01:43:54,overcast clouds,
997,Kidal,18.4411,1.4078,85.41,46,30,7.67,ML,2021-08-11 01:43:54,scattered clouds,
998,Kenai,60.5544,-151.2583,64.49,68,1,26.46,US,2021-08-11 01:43:55,clear sky,
999,Xai-Xai,-25.0519,33.6442,64.8,64,92,4.7,MZ,2021-08-11 01:43:55,overcast clouds,
1000,Ziro,27.6333,93.8333,64.45,95,98,1.07,IN,2021-08-11 01:43:55,overcast clouds,
1001,Changuinola,9.4333,-82.5167,78.37,81,99,2.42,PA,2021-08-11 01:43:56,overcast clouds,
1002,Hasaki,35.7333,140.8333,86.4,71,73,8.21,JP,2021-08-11 01:43:56,broken clouds,
1003,Naze,28.3667,129.4833,85.12,81,98,15.26,JP,2021-08-11 01:43:56,overcast clouds,
1004,Pangnirtung,66.1451,-65.7125,39.67,96,100,0.2,CA,2021-08-11 01:43:57,overcast clouds,
1005,Nueva Guinea,11.6876,-84.4562,72.41,97,38,5.48,NI,2021-08-11 01:43:57,scattered clouds,
1006,Port Lincoln,-34.7333,135.8667,57.94,64,5,23.6,AU,2021-08-11 01:43:57,clear sky,
1007,Sisimiut,66.9395,-53.6735,43.83,88,86,19.3,GL,2021-08-11 01:43:58,overcast clouds,
1008,Ust-Omchug,61.15,149.6333,75.76,31,38,2.53,RU,2021-08-11 01:43:58,scattered clouds,
1009,Dudinka,69.4058,86.1778,45.61,79,100,8.95,RU,2021-08-11 01:43:58,overcast clouds,
1010,San Patricio,28.017,-97.5169,86.09,71,0,13.73,US,2021-08-11 01:43:59,clear sky,
1011,Hofn,64.2539,-15.2082,50.41,87,15,8.66,IS,2021-08-11 01:43:59,few clouds,
1012,Yashkul,46.1711,45.3435,80.38,49,2,5.55,RU,2021-08-11 01:43:59,clear sky,
1013,Rantepao,-2.9701,119.8978,78.57,66,15,4.27,ID,2021-08-11 01:44:00,few clouds,
1014,Yining,29.0361,114.5636,84.6,83,100,0.94,CN,2021-08-11 01:44:00,overcast clouds,
1015,Savalou,7.9281,1.9756,71.02,97,84,5.03,BJ,2021-08-11 01:44:01,broken clouds,
1016,Paralimni,35.0375,33.9833,85.12,60,0,5.01,CY,2021-08-11 01:44:01,clear sky,
1017,Mecca,21.4267,39.8261,87.49,23,13,2.89,SA,2021-08-11 01:44:02,few clouds,
1018,Bukachacha,52.9833,116.9167,58.41,88,100,5.28,RU,2021-08-11 01:44:02,overcast clouds,
1019,Simdega,22.6167,84.5167,79.83,80,91,7.4,IN,2021-08-11 01:44:03,overcast clouds,
1020,San Vicente,-26.6167,-54.1333,52.2,97,100,4.16,AR,2021-08-11 01:44:03,overcast clouds,
1021,Santa Marta,11.2408,-74.199,85.98,69,100,18.99,CO,2021-08-11 01:44:03,overcast clouds,
1022,Montevideo,-34.8335,-56.1674,45.82,70,75,6.91,UY,2021-08-11 01:44:03,broken clouds,
1023,Green River,41.5286,-109.4662,82.8,14,0,7.0,US,2021-08-11 01:44:04,clear sky,
1024,Wanning,18.8003,110.3967,87.15,75,100,11.25,CN,2021-08-11 01:44:04,overcast clouds,
1025,Henties Bay,-22.116,14.2845,58.86,95,21,8.86,NA,2021-08-11 01:44:04,few clouds,
1026,Umm Lajj,25.0213,37.2685,85.6,55,52,6.53,SA,2021-08-11 01:44:05,broken clouds,
1027,Sao Felix Do Xingu,-6.6447,-51.995,75.02,41,0,1.14,BR,2021-08-11 01:44:05,clear sky,
1028,Erenhot,43.6475,111.9767,72.16,36,0,0.72,CN,2021-08-11 01:44:06,clear sky,
1029,Marzuq,14.4,46.4667,78.22,64,67,7.02,YE,2021-08-11 01:44:06,broken clouds,
1030,Pokaran,26.9167,71.9167,80.73,64,14,18.23,IN,2021-08-11 01:44:06,few clouds,
1031,Puerto Baquerizo Moreno,-0.9,-89.6,69.04,86,37,9.84,EC,2021-08-11 01:44:07,scattered clouds,
1032,Wajima,37.4,136.9,77.68,73,40,6.91,JP,2021-08-11 01:44:07,scattered clouds,
